iat,len,diffLen,class
12437000,57,65552,0
1000,152,65630,0
21000,40,65423,0
609000,40,65535,0
316000,40,65535,0
2016379000,52,65547,0
500000,52,65535,0
21000,40,65523,0
65000,366,65861,0
311000,40,65209,0
11033000,57,65552,0
1000,152,65630,0
19000,40,65423,0
702000,40,65535,0
305000,40,65535,0
2002371000,52,65547,0
501000,52,65535,0
15000,40,65523,0
40000,366,65861,0
303000,40,65209,0
10707000,57,65552,0
28000,152,65630,0
11000,40,65423,0
557000,40,65535,0
363000,40,65535,0
2003186000,52,65547,0
429000,52,65535,0
20000,40,65523,0
51000,366,65861,0
260000,40,65209,0
9518000,57,65552,0
20000,152,65630,0
17000,40,65423,0
504000,40,65535,0
310000,40,65535,0
2004501000,52,65547,0
508000,52,65535,0
22000,40,65523,0
99000,366,65861,0
310000,40,65209,0
9761000,57,65552,0
1000,152,65630,0
19000,40,65423,0
554000,40,65535,0
332000,40,65535,0
2003947000,52,65547,0
482000,52,65535,0
20000,40,65523,0
49000,366,65861,0
349000,40,65209,0
9472000,57,65552,0
1000,152,65630,0
20000,40,65423,0
544000,40,65535,0
321000,40,65535,0
2004258000,52,65547,0
514000,52,65535,0
21000,40,65523,0
45000,366,65861,0
362000,40,65209,0
9484000,57,65552,0
27000,152,65630,0
12000,40,65423,0
507000,40,65535,0
297000,40,65535,0
2004353000,52,65547,0
510000,52,65535,0
21000,40,65523,0
50000,366,65861,0
304000,40,65209,0
10073000,57,65552,0
1000,152,65630,0
19000,40,65423,0
490000,40,65535,0
342000,40,65535,0
2003958000,52,65547,0
581000,52,65535,0
39000,40,65523,0
67000,366,65861,0
442000,40,65209,0
10281000,57,65552,0
1000,152,65630,0
24000,40,65423,0
532000,40,65535,0
428000,40,65535,0
2002916000,52,65547,0
530000,52,65535,0
21000,40,65523,0
60000,366,65861,0
320000,40,65209,0
9419000,57,65552,0
60000,152,65630,0
12000,40,65423,0
470000,40,65535,0
301000,40,65535,0
2004282000,52,65547,0
528000,52,65535,0
34000,40,65523,0
98000,366,65861,0
382000,40,65209,0
9583000,57,65552,0
14000,152,65630,0
9000,40,65423,0
498000,40,65535,0
288000,40,65535,0
2004338000,52,65547,0
509000,52,65535,0
21000,40,65523,0
74000,366,65861,0
264000,40,65209,0
10057000,57,65552,0
2000,152,65630,0
34000,40,65423,0
601000,40,65535,0
373000,40,65535,0
2003490000,52,65547,0
543000,52,65535,0
18000,40,65523,0
61000,366,65861,0
457000,40,65209,0
9884000,57,65552,0
1000,152,65630,0
32000,40,65423,0
494000,40,65535,0
337000,40,65535,0
2003694000,52,65547,0
520000,52,65535,0
21000,40,65523,0
51000,366,65861,0
450000,40,65209,0
9456000,57,65552,0
2000,152,65630,0
34000,40,65423,0
575000,40,65535,0
382000,40,65535,0
2004397000,52,65547,0
462000,52,65535,0
23000,40,65523,0
80000,366,65861,0
253000,40,65209,0
10140000,57,65552,0
2000,152,65630,0
31000,40,65423,0
534000,40,65535,0
344000,40,65535,0
2003593000,52,65547,0
544000,52,65535,0
18000,40,65523,0
56000,366,65861,0
358000,40,65209,0
10719000,57,65552,0
19000,152,65630,0
23000,40,65423,0
501000,40,65535,0
356000,40,65535,0
2003252000,52,65547,0
561000,52,65535,0
25000,40,65523,0
71000,366,65861,0
581000,40,65209,0
9594000,57,65552,0
1000,152,65630,0
36000,40,65423,0
639000,40,65535,0
345000,40,65535,0
2003314000,52,65547,0
628000,52,65535,0
33000,40,65523,0
95000,366,65861,0
335000,40,65209,0
9996000,57,65552,0
1000,152,65630,0
18000,40,65423,0
546000,40,65535,0
347000,40,65535,0
2003563000,52,65547,0
606000,52,65535,0
44000,40,65523,0
144000,366,65861,0
382000,40,65209,0
11156000,57,65552,0
29000,152,65630,0
12000,40,65423,0
7063000,40,65535,0
347000,40,65535,0
2011646000,52,65547,0
555000,52,65535,0
21000,40,65523,0
41000,366,65861,0
410000,40,65209,0
11170000,57,65552,0
5000,152,65630,0
21000,40,65423,0
507000,40,65535,0
423000,40,65535,0
2002236000,52,65547,0
497000,52,65535,0
34000,40,65523,0
43000,366,65861,0
442000,40,65209,0
10351000,57,65552,0
65000,152,65630,0
21000,40,65423,0
604000,40,65535,0
327000,40,65535,0
2003409000,52,65547,0
564000,52,65535,0
23000,40,65523,0
64000,366,65861,0
388000,40,65209,0
10072000,57,65552,0
48000,152,65630,0
13000,40,65423,0
496000,40,65535,0
365000,40,65535,0
2003409000,52,65547,0
568000,52,65535,0
23000,40,65523,0
53000,366,65861,0
433000,40,65209,0
10458000,57,65552,0
1000,152,65630,0
19000,40,65423,0
504000,40,65535,0
380000,40,65535,0
2002966000,52,65547,0
479000,52,65535,0
20000,40,65523,0
62000,366,65861,0
386000,40,65209,0
10101000,57,65552,0
1000,152,65630,0
20000,40,65423,0
485000,40,65535,0
349000,40,65535,0
2003734000,52,65547,0
558000,52,65535,0
21000,40,65523,0
64000,366,65861,0
350000,40,65209,0
10230000,57,65552,0
1000,152,65630,0
29000,40,65423,0
531000,40,65535,0
362000,40,65535,0
2003515000,52,65547,0
532000,52,65535,0
17000,40,65523,0
63000,366,65861,0
603000,40,65209,0
9776000,57,65552,0
26000,152,65630,0
15000,40,65423,0
655000,40,65535,0
389000,40,65535,0
2003455000,52,65547,0
480000,52,65535,0
18000,40,65523,0
62000,366,65861,0
389000,40,65209,0
9872000,57,65552,0
27000,152,65630,0
17000,40,65423,0
554000,40,65535,0
345000,40,65535,0
2003804000,52,65547,0
490000,52,65535,0
21000,40,65523,0
51000,366,65861,0
305000,40,65209,0
9743000,57,65552,0
1000,152,65630,0
32000,40,65423,0
518000,40,65535,0
306000,40,65535,0
2004076000,52,65547,0
475000,52,65535,0
21000,40,65523,0
64000,366,65861,0
300000,40,65209,0
9650000,57,65552,0
23000,152,65630,0
12000,40,65423,0
497000,40,65535,0
276000,40,65535,0
2004305000,52,65547,0
519000,52,65535,0
22000,40,65523,0
78000,366,65861,0
498000,40,65209,0
9427000,57,65552,0
23000,152,65630,0
10000,40,65423,0
491000,40,65535,0
343000,40,65535,0
2004223000,52,65547,0
533000,52,65535,0
21000,40,65523,0
51000,366,65861,0
263000,40,65209,0
9966000,57,65552,0
45000,152,65630,0
12000,40,65423,0
437000,40,65535,0
313000,40,65535,0
2003931000,52,65547,0
542000,52,65535,0
22000,40,65523,0
57000,366,65861,0
387000,40,65209,0
9885000,57,65552,0
23000,152,65630,0
12000,40,65423,0
514000,40,65535,0
353000,40,65535,0
2003725000,52,65547,0
495000,52,65535,0
23000,40,65523,0
42000,366,65861,0
346000,40,65209,0
9485000,57,65552,0
28000,152,65630,0
10000,40,65423,0
520000,40,65535,0
373000,40,65535,0
2004128000,52,65547,0
480000,52,65535,0
31000,40,65523,0
52000,366,65861,0
310000,40,65209,0
9941000,57,65552,0
25000,152,65630,0
12000,40,65423,0
521000,40,65535,0
353000,40,65535,0
2004079000,52,65547,0
586000,52,65535,0
20000,40,65523,0
62000,366,65861,0
495000,40,65209,0
9374000,57,65552,0
13000,152,65630,0
10000,40,65423,0
684000,40,65535,0
423000,40,65535,0
2003789000,52,65547,0
488000,52,65535,0
21000,40,65523,0
50000,366,65861,0
308000,40,65209,0
9496000,57,65552,0
0,152,65630,0
24000,40,65423,0
554000,40,65535,0
280000,40,65535,0
2004270000,52,65547,0
535000,52,65535,0
34000,40,65523,0
93000,366,65861,0
319000,40,65209,0
9604000,57,65552,0
14000,152,65630,0
10000,40,65423,0
496000,40,65535,0
274000,40,65535,0
2004303000,52,65547,0
458000,52,65535,0
21000,40,65523,0
62000,366,65861,0
264000,40,65209,0
9942000,57,65552,0
42000,152,65630,0
20000,40,65423,0
678000,40,65535,0
274000,40,65535,0
2003709000,52,65547,0
579000,52,65535,0
19000,40,65523,0
62000,366,65861,0
375000,40,65209,0
9898000,57,65552,0
13000,152,65630,0
9000,40,65423,0
472000,40,65535,0
381000,40,65535,0
2003863000,52,65547,0
518000,52,65535,0
35000,40,65523,0
98000,366,65861,0
322000,40,65209,0
9447000,57,65552,0
2000,152,65630,0
33000,40,65423,0
540000,40,65535,0
312000,40,65535,0
2004260000,52,65547,0
464000,52,65535,0
21000,40,65523,0
75000,366,65861,0
289000,40,65209,0
9395000,57,65552,0
1000,152,65630,0
19000,40,65423,0
496000,40,65535,0
342000,40,65535,0
2004630000,52,65547,0
413000,52,65535,0
22000,40,65523,0
65000,366,65861,0
272000,40,65209,0
9781000,57,65552,0
15000,152,65630,0
10000,40,65423,0
500000,40,65535,0
346000,40,65535,0
2004092000,52,65547,0
489000,52,65535,0
21000,40,65523,0
60000,366,65861,0
307000,40,65209,0
9453000,57,65552,0
13000,152,65630,0
10000,40,65423,0
521000,40,65535,0
298000,40,65535,0
2004104000,52,65547,0
465000,52,65535,0
32000,40,65523,0
68000,366,65861,0
348000,40,65209,0
9377000,57,65552,0
25000,152,65630,0
16000,40,65423,0
567000,40,65535,0
312000,40,65535,0
2004590000,52,65547,0
529000,52,65535,0
20000,40,65523,0
60000,366,65861,0
332000,40,65209,0
9793000,57,65552,0
1000,152,65630,0
34000,40,65423,0
523000,40,65535,0
350000,40,65535,0
2003978000,52,65547,0
474000,52,65535,0
21000,40,65523,0
53000,366,65861,0
620000,40,65209,0
9369000,57,65552,0
25000,152,65630,0
30000,40,65423,0
482000,40,65535,0
312000,40,65535,0
2004260000,52,65547,0
481000,52,65535,0
17000,40,65523,0
76000,366,65861,0
585000,40,65209,0
9723000,57,65552,0
22000,152,65630,0
11000,40,65423,0
502000,40,65535,0
302000,40,65535,0
2003745000,52,65547,0
592000,52,65535,0
23000,40,65523,0
65000,366,65861,0
315000,40,65209,0
9980000,57,65552,0
23000,152,65630,0
13000,40,65423,0
511000,40,65535,0
434000,40,65535,0
2003683000,52,65547,0
544000,52,65535,0
33000,40,65523,0
96000,366,65861,0
299000,40,65209,0
9695000,57,65552,0
1000,152,65630,0
46000,40,65423,0
511000,40,65535,0
402000,40,65535,0
2003959000,52,65547,0
591000,52,65535,0
34000,40,65523,0
104000,366,65861,0
382000,40,65209,0
9946000,57,65552,0
2000,152,65630,0
35000,40,65423,0
686000,40,65535,0
375000,40,65535,0
2003411000,52,65547,0
569000,52,65535,0
21000,40,65523,0
44000,366,65861,0
410000,40,65209,0
9769000,57,65552,0
1000,152,65630,0
35000,40,65423,0
561000,40,65535,0
391000,40,65535,0
2003641000,52,65547,0
527000,52,65535,0
18000,40,65523,0
75000,366,65861,0
256000,40,65209,0
9580000,57,65552,0
46000,152,65630,0
20000,40,65423,0
652000,40,65535,0
353000,40,65535,0
2003977000,52,65547,0
430000,52,65535,0
20000,40,65523,0
51000,366,65861,0
324000,40,65209,0
10359000,57,65552,0
2000,152,65630,0
35000,40,65423,0
566000,40,65535,0
317000,40,65535,0
2003491000,52,65547,0
547000,52,65535,0
29000,40,65523,0
52000,366,65861,0
453000,40,65209,0
9655000,57,65552,0
71000,152,65630,0
13000,40,65423,0
477000,40,65535,0
350000,40,65535,0
2003872000,52,65547,0
555000,52,65535,0
18000,40,65523,0
40000,366,65861,0
511000,40,65209,0
9939000,57,65552,0
15000,152,65630,0
9000,40,65423,0
496000,40,65535,0
407000,40,65535,0
2003804000,52,65547,0
638000,52,65535,0
19000,40,65523,0
67000,366,65861,0
441000,40,65209,0
9935000,57,65552,0
1000,152,65630,0
20000,40,65423,0
544000,40,65535,0
390000,40,65535,0
2003554000,52,65547,0
574000,52,65535,0
16000,40,65523,0
66000,366,65861,0
533000,40,65209,0
9761000,57,65552,0
2000,152,65630,0
27000,40,65423,0
671000,40,65535,0
307000,40,65535,0
2003450000,52,65547,0
638000,52,65535,0
18000,40,65523,0
67000,366,65861,0
437000,40,65209,0
10103000,57,65552,0
21000,152,65630,0
16000,40,65423,0
676000,40,65535,0
371000,40,65535,0
2003488000,52,65547,0
594000,52,65535,0
35000,40,65523,0
51000,366,65861,0
407000,40,65209,0
9451000,57,65552,0
1000,152,65630,0
23000,40,65423,0
574000,40,65535,0
385000,40,65535,0
2003980000,52,65547,0
548000,52,65535,0
20000,40,65523,0
70000,366,65861,0
549000,40,65209,0
9648000,57,65552,0
1000,152,65630,0
23000,40,65423,0
627000,40,65535,0
336000,40,65535,0
2003548000,52,65547,0
458000,52,65535,0
22000,40,65523,0
49000,366,65861,0
312000,40,65209,0
9474000,57,65552,0
55000,152,65630,0
12000,40,65423,0
453000,40,65535,0
277000,40,65535,0
2004503000,52,65547,0
919000,52,65535,0
22000,40,65523,0
52000,366,65861,0
344000,40,65209,0
8819000,57,65552,0
98000,152,65630,0
14000,40,65423,0
506000,40,65535,0
312000,40,65535,0
2004494000,52,65547,0
511000,52,65535,0
41000,40,65523,0
94000,366,65861,0
313000,40,65209,0
11487000,57,65552,0
2000,152,65630,0
30000,40,65423,0
519000,40,65535,0
291000,40,65535,0
2002216000,52,65547,0
471000,52,65535,0
22000,40,65523,0
50000,366,65861,0
527000,40,65209,0
9772000,57,65552,0
26000,152,65630,0
12000,40,65423,0
531000,40,65535,0
277000,40,65535,0
2003850000,52,65547,0
497000,52,65535,0
21000,40,65523,0
51000,366,65861,0
284000,40,65209,0
10186000,57,65552,0
23000,152,65630,0
12000,40,65423,0
470000,40,65535,0
374000,40,65535,0
2003668000,52,65547,0
505000,52,65535,0
35000,40,65523,0
94000,366,65861,0
348000,40,65209,0
10133000,57,65552,0
43000,152,65630,0
19000,40,65423,0
658000,40,65535,0
373000,40,65535,0
2003481000,52,65547,0
421000,52,65535,0
21000,40,65523,0
61000,366,65861,0
537000,40,65209,0
9842000,57,65552,0
1000,152,65630,0
19000,40,65423,0
495000,40,65535,0
267000,40,65535,0
2003884000,52,65547,0
575000,52,65535,0
38000,40,65523,0
110000,366,65861,0
376000,40,65209,0
9844000,57,65552,0
16000,152,65630,0
11000,40,65423,0
549000,40,65535,0
361000,40,65535,0
2003598000,52,65547,0
528000,52,65535,0
21000,40,65523,0
54000,366,65861,0
313000,40,65209,0
9915000,57,65552,0
15000,152,65630,0
10000,40,65423,0
687000,40,65535,0
314000,40,65535,0
2003757000,52,65547,0
544000,52,65535,0
17000,40,65523,0
83000,366,65861,0
332000,40,65209,0
9511000,57,65552,0
2000,152,65630,0
28000,40,65423,0
602000,40,65535,0
393000,40,65535,0
2004015000,52,65547,0
543000,52,65535,0
21000,40,65523,0
51000,366,65861,0
286000,40,65209,0
9747000,57,65552,0
1000,152,65630,0
20000,40,65423,0
488000,40,65535,0
359000,40,65535,0
2004068000,52,65547,0
523000,52,65535,0
21000,40,65523,0
50000,366,65861,0
339000,40,65209,0
9622000,57,65552,0
26000,152,65630,0
11000,40,65423,0
477000,40,65535,0
255000,40,65535,0
2004309000,52,65547,0
573000,52,65535,0
40000,40,65523,0
95000,366,65861,0
262000,40,65209,0
10271000,57,65552,0
48000,152,65630,0
12000,40,65423,0
471000,40,65535,0
273000,40,65535,0
2003534000,52,65547,0
642000,52,65535,0
33000,40,65523,0
96000,366,65861,0
301000,40,65209,0
9781000,57,65552,0
13000,152,65630,0
10000,40,65423,0
481000,40,65535,0
313000,40,65535,0
2004001000,52,65547,0
530000,52,65535,0
18000,40,65523,0
62000,366,65861,0
248000,40,65209,0
10283000,57,65552,0
0,152,65630,0
20000,40,65423,0
479000,40,65535,0
335000,40,65535,0
2003751000,52,65547,0
515000,52,65535,0
21000,40,65523,0
56000,366,65861,0
313000,40,65209,0
10318000,57,65552,0
1000,152,65630,0
19000,40,65423,0
582000,40,65535,0
423000,40,65535,0
2003202000,52,65547,0
495000,52,65535,0
20000,40,65523,0
50000,366,65861,0
267000,40,65209,0
9671000,57,65552,0
14000,152,65630,0
10000,40,65423,0
486000,40,65535,0
323000,40,65535,0
2004220000,52,65547,0
533000,52,65535,0
32000,40,65523,0
101000,366,65861,0
289000,40,65209,0
9974000,57,65552,0
1000,152,65630,0
20000,40,65423,0
525000,40,65535,0
338000,40,65535,0
2003878000,52,65547,0
559000,52,65535,0
20000,40,65523,0
55000,366,65861,0
267000,40,65209,0
9302000,57,65552,0
17000,152,65630,0
12000,40,65423,0
548000,40,65535,0
314000,40,65535,0
2004543000,52,65547,0
549000,52,65535,0
19000,40,65523,0
59000,366,65861,0
470000,40,65209,0
9851000,57,65552,0
1000,152,65630,0
21000,40,65423,0
523000,40,65535,0
307000,40,65535,0
2003426000,52,65547,0
499000,52,65535,0
18000,40,65523,0
53000,366,65861,0
378000,40,65209,0
9608000,57,65552,0
40000,152,65630,0
11000,40,65423,0
507000,40,65535,0
370000,40,65535,0
2004218000,52,65547,0
460000,52,65535,0
18000,40,65523,0
51000,366,65861,0
491000,40,65209,0
9857000,57,65552,0
1000,152,65630,0
17000,40,65423,0
495000,40,65535,0
325000,40,65535,0
2003682000,52,65547,0
536000,52,65535,0
31000,40,65523,0
93000,366,65861,0
335000,40,65209,0
10145000,57,65552,0
0,152,65630,0
19000,40,65423,0
504000,40,65535,0
345000,40,65535,0
2003875000,52,65547,0
558000,52,65535,0
21000,40,65523,0
81000,366,65861,0
605000,40,65209,0
9454000,57,65552,0
27000,152,65630,0
19000,40,65423,0
651000,40,65535,0
324000,40,65535,0
2004123000,52,65547,0
537000,52,65535,0
24000,40,65523,0
70000,366,65861,0
289000,40,65209,0
9819000,57,65552,0
60000,152,65630,0
17000,40,65423,0
618000,40,65535,0
337000,40,65535,0
2003640000,52,65547,0
571000,52,65535,0
22000,40,65523,0
65000,366,65861,0
449000,40,65209,0
11533000,57,65552,0
1000,152,65630,0
25000,40,65423,0
782000,40,65535,0
394000,40,65535,0
2016902000,52,65547,0
521000,52,65535,0
15000,40,65523,0
48000,366,65861,0
365000,40,65209,0
17477000,57,65552,0
1000,152,65630,0
32000,40,65423,0
651000,40,65535,0
283000,40,65535,0
2011944000,52,65547,0
521000,52,65535,0
31000,40,65523,0
95000,366,65861,0
246000,40,65209,0
18025000,57,65552,0
2000,152,65630,0
37000,40,65423,0
610000,40,65535,0
384000,40,65535,0
2011665000,52,65547,0
500000,52,65535,0
23000,40,65523,0
74000,366,65861,0
336000,40,65209,0
18212000,57,65552,0
2000,152,65630,0
38000,40,65423,0
768000,40,65535,0
381000,40,65535,0
2010371000,52,65547,0
542000,52,65535,0
18000,40,65523,0
51000,366,65861,0
304000,40,65209,0
45214000,57,65552,0
1000,152,65630,0
22000,40,65423,0
506000,40,65535,0
321000,40,65535,0
2015500000,52,65547,0
403000,52,65535,0
22000,40,65523,0
51000,366,65861,0
309000,40,65209,0
9392000,57,65552,0
1000,152,65630,0
19000,40,65423,0
492000,40,65535,0
327000,40,65535,0
2004517000,52,65547,0
379000,52,65535,0
19000,40,65523,0
60000,366,65861,0
283000,40,65209,0
13216000,57,65552,0
13000,152,65630,0
10000,40,65423,0
515000,40,65535,0
269000,40,65535,0
2016469000,52,65547,0
434000,52,65535,0
17000,40,65523,0
39000,366,65861,0
363000,40,65209,0
8462000,57,65552,0
1000,152,65630,0
44000,40,65423,0
532000,40,65535,0
346000,40,65535,0
2005266000,52,65547,0
476000,52,65535,0
32000,40,65523,0
95000,366,65861,0
292000,40,65209,0
8562000,57,65552,0
0,152,65630,0
18000,40,65423,0
510000,40,65535,0
324000,40,65535,0
2005440000,52,65547,0
412000,52,65535,0
32000,40,65523,0
50000,366,65861,0
255000,40,65209,0
8656000,57,65552,0
21000,152,65630,0
16000,40,65423,0
605000,40,65535,0
278000,40,65535,0
2005195000,52,65547,0
481000,52,65535,0
22000,40,65523,0
51000,366,65861,0
269000,40,65209,0
8472000,57,65552,0
0,152,65630,0
20000,40,65423,0
525000,40,65535,0
312000,40,65535,0
2005480000,52,65547,0
470000,52,65535,0
23000,40,65523,0
66000,366,65861,0
426000,40,65209,0
8320000,57,65552,0
1000,152,65630,0
34000,40,65423,0
545000,40,65535,0
302000,40,65535,0
2005383000,52,65547,0
526000,52,65535,0
36000,40,65523,0
96000,366,65861,0
331000,40,65209,0
8306000,57,65552,0
1000,152,65630,0
29000,40,65423,0
558000,40,65535,0
366000,40,65535,0
2005334000,52,65547,0
456000,52,65535,0
21000,40,65523,0
49000,366,65861,0
300000,40,65209,0
9072000,57,65552,0
1000,152,65630,0
18000,40,65423,0
488000,40,65535,0
308000,40,65535,0
2004801000,52,65547,0
458000,52,65535,0
33000,40,65523,0
50000,366,65861,0
303000,40,65209,0
8273000,57,65552,0
21000,152,65630,0
17000,40,65423,0
652000,40,65535,0
320000,40,65535,0
2005924000,52,65547,0
559000,52,65535,0
28000,40,65523,0
87000,366,65861,0
529000,40,65209,0
8399000,57,65552,0
6000,152,65630,0
22000,40,65423,0
618000,40,65535,0
453000,40,65535,0
2004571000,52,65547,0
506000,52,65535,0
23000,40,65523,0
70000,366,65861,0
298000,40,65209,0
8806000,57,65552,0
1000,152,65630,0
19000,40,65423,0
584000,40,65535,0
389000,40,65535,0
2004730000,52,65547,0
488000,52,65535,0
38000,40,65523,0
106000,366,65861,0
280000,40,65209,0
8416000,57,65552,0
2000,152,65630,0
35000,40,65423,0
794000,40,65535,0
314000,40,65535,0
2005035000,52,65547,0
489000,52,65535,0
31000,40,65523,0
45000,366,65861,0
339000,40,65209,0
8389000,57,65552,0
1000,152,65630,0
30000,40,65423,0
570000,40,65535,0
392000,40,65535,0
2005252000,52,65547,0
492000,52,65535,0
36000,40,65523,0
97000,366,65861,0
265000,40,65209,0
10229000,57,65552,0
14000,152,65630,0
10000,40,65423,0
522000,40,65535,0
362000,40,65535,0
2003645000,52,65547,0
574000,52,65535,0
21000,40,65523,0
66000,366,65861,0
294000,40,65209,0
8513000,57,65552,0
28000,152,65630,0
18000,40,65423,0
595000,40,65535,0
370000,40,65535,0
2005031000,52,65547,0
519000,52,65535,0
19000,40,65523,0
52000,366,65861,0
369000,40,65209,0
8866000,57,65552,0
16000,152,65630,0
11000,40,65423,0
